op_carrier_fl_num,origin_city_name,dest_city_name,cancellation_code,year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,origin_state_nm,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,origin,carrier_delay,dest,weather_delay,nas_delay,security_delay,late_aircraft_delay
3535,"Dallas/Fort Worth, TX","Rapid City, SD",,2024,4,18,4,2024/4/18,MQ,Texas,South Dakota,1018,1015,-3,21,1036,1135,4,1149,1139,-10,0,0,151,144,119,835,DFW,0,RAP,0,0,0,0
148,"Charlotte, NC","Phoenix, AZ",,2024,1,1,1,2024/1/1,AA,North Carolina,Arizona,1637,1633,-4,14,1647,1900,6,1923,1906,-17,0,0,286,273,253,1773,CLT,0,PHX,0,0,0,0
5440,"Chattanooga, TN","Atlanta, GA",,2024,12,12,4,2024/12/12,9E,Tennessee,Georgia,1000,952,-8,13,1005,1034,8,1059,1042,-17,0,0,59,50,29,106,CHA,0,ATL,0,0,0,0
1971,"Omaha, NE","Las Vegas, NV",,2024,4,8,1,2024/4/8,WN,Nebraska,Nevada,1330,1334,4,8,1342,1425,6,1430,1431,1,0,0,180,177,163,1099,OMA,0,LAS,0,0,0,0
862,"Baltimore, MD","Myrtle Beach, SC",,2024,2,16,5,2024/2/16,WN,Maryland,South Carolina,1340,1333,-7,16,1349,1505,4,1510,1509,-1,0,0,90,96,76,399,BWI,0,MYR,0,0,0,0
2358,"San Diego, CA","Phoenix, AZ",,2024,4,15,1,2024/4/15,WN,California,Arizona,715,708,-7,13,721,812,4,830,816,-14,0,0,75,68,51,304,SAN,0,PHX,0,0,0,0
163,"Melbourne, FL","Allentown/Bethlehem/Easton, PA",,2024,11,27,3,2024/11/27,G4,Florida,Pennsylvania,933,924,-9,12,936,1153,5,1202,1158,-4,0,0,149,154,137,914,MLB,0,ABE,0,0,0,0
1269,"Nashville, TN","Portland, OR",,2024,8,31,6,2024/8/31,AS,Tennessee,Oregon,1855,1850,-5,21,1911,2125,3,2155,2128,-27,0,0,300,278,254,1973,BNA,0,PDX,0,0,0,0
3438,"Los Angeles, CA","San Jose, CA",,2024,4,19,5,2024/4/19,OO,California,California,820,814,-6,29,843,932,5,939,937,-2,0,0,79,83,49,308,LAX,0,SJC,0,0,0,0
5654,"San Francisco, CA","Bakersfield, CA",,2024,2,8,4,2024/2/8,OO,California,California,2235,2227,-8,17,2244,2324,3,2350,2327,-23,0,0,75,60,40,238,SFO,0,BFL,0,0,0,0
1510,"Des Moines, IA","Austin, TX",,2024,9,19,4,2024/9/19,G4,Iowa,Texas,1501,1548,47,12,1600,1736,7,1707,1743,36,0,0,126,115,96,813,DSM,0,AUS,0,0,0,36
2050,"Miami, FL","New York, NY",,2024,3,28,4,2024/3/28,AA,Florida,New York,2039,2115,36,48,2203,20,5,2337,25,48,0,0,178,190,137,1096,MIA,19,LGA,0,12,0,17
1911,"Richmond, VA","Charlotte, NC",,2024,6,14,5,2024/6/14,AA,Virginia,North Carolina,635,639,4,27,706,758,7,759,805,6,0,0,84,86,52,257,RIC,0,CLT,0,0,0,0
1102,"Tampa, FL","Nashville, TN",,2024,10,26,6,2024/10/26,WN,Florida,Tennessee,1925,1911,-14,6,1917,1944,4,2015,1948,-27,0,0,110,97,87,612,TPA,0,BNA,0,0,0,0
2832,"Los Angeles, CA","Philadelphia, PA",,2024,8,21,3,2024/8/21,AA,California,Pennsylvania,905,903,-2,13,916,1656,11,1725,1707,-18,0,0,320,304,280,2402,LAX,0,PHL,0,0,0,0
2432,"Sioux Falls, SD","Denver, CO",,2024,3,23,6,2024/3/23,UA,South Dakota,Colorado,905,859,-6,10,909,924,23,1002,947,-15,0,0,117,108,75,483,FSD,0,DEN,0,0,0,0
1926,"Washington, DC","Denver, CO",,2024,7,21,7,2024/7/21,UA,Virginia,Colorado,1610,1612,2,12,1624,1736,14,1814,1750,-24,0,0,244,218,192,1452,IAD,0,DEN,0,0,0,0
1101,"Denver, CO","Washington, DC",,2024,12,18,3,2024/12/18,UA,Colorado,Virginia,800,754,-6,18,812,1258,4,1319,1302,-17,0,0,199,188,166,1452,DEN,0,IAD,0,0,0,0
3146,"Atlanta, GA","New Orleans, LA",,2024,10,11,5,2024/10/11,DL,Georgia,Louisiana,1540,1537,-3,10,1547,1554,6,1612,1600,-12,0,0,92,83,67,425,ATL,0,MSY,0,0,0,0
1124,"Sarasota/Bradenton, FL","Baltimore, MD",,2024,4,12,5,2024/4/12,WN,Florida,Maryland,1810,1806,-4,10,1816,2014,11,2035,2025,-10,0,0,145,139,118,880,SRQ,0,BWI,0,0,0,0
4055,"Detroit, MI","Omaha, NE",,2024,7,24,3,2024/7/24,OO,Michigan,Nebraska,832,827,-5,14,841,926,3,935,929,-6,0,0,123,122,105,651,DTW,0,OMA,0,0,0,0
2920,"Tampa, FL","Cleveland, OH",,2024,9,8,7,2024/9/8,F9,Florida,Ohio,1805,1817,12,31,1848,2054,11,2041,2105,24,0,0,156,168,126,927,TPA,12,CLE,0,12,0,0
469,"Houston, TX","Chicago, IL",,2024,11,25,1,2024/11/25,UA,Texas,Illinois,720,715,-5,21,736,937,9,1002,946,-16,0,0,162,151,121,925,IAH,0,ORD,0,0,0,0
