arr_delay,op_carrier_fl_num,origin_state_nm,dest_state_nm,wheels_off,wheels_on,origin_city_name,dest_city_name,cancellation_code,year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,crs_dep_time,dep_time,dep_delay,taxi_out,taxi_in,crs_arr_time,arr_time,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,origin,dest
continuous,string,Alabama Alaska Arizona Arkansas California Colorado Connecticut Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New\ Hampshire New\ Jersey New\ Mexico New\ York North\ Carolina North\ Dakota Ohio Oklahoma Oregon Pennsylvania Puerto\ Rico Rhode\ Island South\ Carolina South\ Dakota Tennessee Texas U.S.\ Pacific\ Trust\ Territories\ and\ Possessions U.S.\ Virgin\ Islands Utah Vermont Virginia Washington West\ Virginia Wisconsin Wyoming,Alabama Alaska Arizona Arkansas California Colorado Connecticut Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New\ Hampshire New\ Jersey New\ Mexico New\ York North\ Carolina North\ Dakota Ohio Oklahoma Oregon Pennsylvania Puerto\ Rico Rhode\ Island South\ Carolina South\ Dakota Tennessee Texas U.S.\ Pacific\ Trust\ Territories\ and\ Possessions U.S.\ Virgin\ Islands Utah Vermont Virginia Washington West\ Virginia Wisconsin Wyoming,continuous,continuous,string,string,string,continuous,continuous,continuous,continuous,time,9E AA AS B6 DL F9 G4 HA MQ NK OH OO UA WN YX,continuous,continuous,continuous,continuous,continuous,continuous,continuous,0 1,0 1,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,ABE ABI ABQ ABR ACK ACT ACV ACY ADQ AEX AGS ALB ALW AMA ANC ASE ATL ATW AUS AVL AVP AZA AZO BDL BFL BGM BGR BHM BIL BIS BJI BLI BLV BMI BNA BOI BOS BQN BRO BTR BTV BUF BUR BWI BZN CAE CAK CDV CHA CHO CHS CID CIU CLE CLL CLT CMH CMI COS COU CPR CRP CRW CSG CVG CWA CYS DAB DAL DAY DCA DDC DEN DFW DLG DLH DRO DSM DTW ECP EGE ELM ELP EUG EVV EWR EYW FAI FAR FAT FAY FCA FLG FLL FNT FSD FSM FWA GCC GCK GEG GGG GJT GNV GPT GRB GRI GRK GRR GSO GSP GST GTF GUC GUM HDN HGR HHH HIB HLN HNL HOU HPN HRL HSV HTS IAD IAH ICT IDA ILM IMT IND ISP ITH ITO JAC JAN JAX JFK JMS JNU JST KOA KTN LAN LAS LAX LBB LBF LBL LCH LCK LEX LFT LGA LGB LIH LIT LNK LRD MAF MBS MCI MCO MDT MDW MEI MEM MFE MFR MGM MHK MHT MIA MKE MLB MLI MLU MOB MOT MRY MSN MSO MSP MSY MTJ MVY MYR OAK OGG OKC OMA ONT ORD ORF ORH PAE PBG PBI PDX PGD PHL PHX PIA PIE PIH PIT PLN PNS PSC PSE PSG PSM PSP PVD PVU PWM RAP RDD RDM RDU RFD RIC RIW RKS RNO ROA ROC ROW RST RSW SAF SAN SAT SAV SBA SBN SBP SCE SCK SDF SEA SFB SFO SGF SGU SHV SIT SJC SJT SJU SLC SLN SMF SNA SPI SPS SRQ STL STS STT SUN SUX SWO SYR TLH TOL TPA TRI TTN TUL TUS TVC TWF TYR TYS VCT VPS WRG WYS XNA XWA YUM,ABE ABI ABQ ABR ACK ACT ACV ACY ADK ADQ AEX AGS ALB AMA ANC ASE ATL ATW AUS AVL AVP AZA AZO BDL BET BFF BFL BGR BHM BIL BIS BLI BLV BMI BNA BOI BOS BPT BQK BQN BRD BRO BRW BTR BTV BUF BUR BWI BZN CAE CAK CHA CHO CHS CID CKB CLE CLT CMH CMI COS COU CPR CRP CRW CSG CVG DAB DAL DAY DCA DEC DEN DFW DHN DIK DLH DRO DSM DTW EAR ECP EGE ELM ELP EUG EVV EWR EYW FAI FAR FAT FAY FCA FLG FLL FNT FSD FSM FWA GEG GFK GGG GJT GNV GPT GRB GRI GRK GRR GSO GSP GTF GTR GUC GUM HDN HHH HIB HLN HNL HOU HPN HRL HSV HYS IAD IAH ICT IDA ILM IND ISP ITO JAC JAN JAX JFK JMS JNU JST KOA LAN LAR LAS LAW LAX LBB LBE LBF LBL LCH LCK LEX LFT LGA LGB LIH LIT LNK LRD LWS MAF MBS MCI MCO MDT MDW MEI MEM MFE MFR MGM MHK MHT MIA MKE MLB MLI MLU MOB MOT MQT MRY MSN MSO MSP MSY MTJ MVY MYR OAJ OAK OGG OKC OMA ONT ORD ORF ORH PAE PBG PBI PDX PGD PHL PHX PIA PIE PIH PIT PNS PRC PSC PSE PSG PSM PSP PVD PVU PWM RAP RDM RDU RFD RIC RIW RNO ROA ROC ROW RST RSW SAF SAN SAT SAV SBA SBN SBP SCC SCE SDF SEA SFB SFO SGF SGU SHV SJC SJT SJU SLC SLN SMF SNA SPI SRQ STL STS STT STX SUN SWO SYR TLH TOL TPA TRI TTN TUL TUS TVC TWF TXK TYR TYS USA VCT VLD VPS WRG WYS XNA XWA YAK YUM
class,meta,meta,meta,meta,meta,meta,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.0,3535,Texas,South Dakota,1036.0,1135.0,"Dallas/Fort Worth, TX","Rapid City, SD",,2024,4,18,4,2024-04-18,MQ,1018,1015.0,-3.0,21.0,4.0,1149,1139.0,0,0,151.0,144.0,119.0,835.0,0,0,0,0,0,DFW,RAP
-17.0,148,North Carolina,Arizona,1647.0,1900.0,"Charlotte, NC","Phoenix, AZ",,2024,1,1,1,2024-01-01,AA,1637,1633.0,-4.0,14.0,6.0,1923,1906.0,0,0,286.0,273.0,253.0,1773.0,0,0,0,0,0,CLT,PHX
-17.0,5440,Tennessee,Georgia,1005.0,1034.0,"Chattanooga, TN","Atlanta, GA",,2024,12,12,4,2024-12-12,9E,1000,952.0,-8.0,13.0,8.0,1059,1042.0,0,0,59.0,50.0,29.0,106.0,0,0,0,0,0,CHA,ATL
1.0,1971,Nebraska,Nevada,1342.0,1425.0,"Omaha, NE","Las Vegas, NV",,2024,4,8,1,2024-04-08,WN,1330,1334.0,4.0,8.0,6.0,1430,1431.0,0,0,180.0,177.0,163.0,1099.0,0,0,0,0,0,OMA,LAS
-1.0,862,Maryland,South Carolina,1349.0,1505.0,"Baltimore, MD","Myrtle Beach, SC",,2024,2,16,5,2024-02-16,WN,1340,1333.0,-7.0,16.0,4.0,1510,1509.0,0,0,90.0,96.0,76.0,399.0,0,0,0,0,0,BWI,MYR
-14.0,2358,California,Arizona,721.0,812.0,"San Diego, CA","Phoenix, AZ",,2024,4,15,1,2024-04-15,WN,715,708.0,-7.0,13.0,4.0,830,816.0,0,0,75.0,68.0,51.0,304.0,0,0,0,0,0,SAN,PHX
-4.0,163,Florida,Pennsylvania,936.0,1153.0,"Melbourne, FL","Allentown/Bethlehem/Easton, PA",,2024,11,27,3,2024-11-27,G4,933,924.0,-9.0,12.0,5.0,1202,1158.0,0,0,149.0,154.0,137.0,914.0,0,0,0,0,0,MLB,ABE
-27.0,1269,Tennessee,Oregon,1911.0,2125.0,"Nashville, TN","Portland, OR",,2024,8,31,6,2024-08-31,AS,1855,1850.0,-5.0,21.0,3.0,2155,2128.0,0,0,300.0,278.0,254.0,1973.0,0,0,0,0,0,BNA,PDX
